date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:20	192316/192316	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:20%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=nav_tooltip_redirect	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landing95b1.html	(from https://www.amazon.de/)
14:13:21	10/10	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:20%20GMT	https://www.amazon.de/gp/product/sessionCacheUpdateHandler.html	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/product/sessionCacheUpdateHandler.html	(from https://www.amazon.de/)
14:13:21	1/1	---MCZ	301	error ('MovedPermanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:21%20GMT	https://www.amazon.de/b/ref=footer_careers?ie=UTF8&node=202588011	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/b/ref=footer_careers89ec	(from https://www.amazon.de/)
14:13:21	192234/192234	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:20%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=nav_prime_ajax_err	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landing049a.html	(from https://www.amazon.de/)
14:13:21	1/1	---MCZ	301	error ('MovedPermanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:21%20GMT	https://www.amazon.de/b/ref=footer_nav_legal?ie=UTF8&node=505050	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/b/ref=footer_nav_legal735e	(from https://www.amazon.de/)
14:13:21	195985/195985	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:21%20GMT	https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=505050	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display6edf.html	(from https://www.amazon.de/)
14:13:22	164728/164728	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:21%20GMT	https://www.amazon.de/gp/seller-account/mm-landing.html/ref=footer_seeall?ie=UTF8&topic=200330420	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/seller-account/mm-landing.html/ref=footer_seealldf8c.html	(from https://www.amazon.de/)
14:13:22	193758/193758	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:22%20GMT	https://www.amazon.de/b/?node=8670625031&ref=footer_ve_track_rw	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/b/indexc314.html	(from https://www.amazon.de/)
14:13:22	182040/182040	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:22%20GMT	https://www.amazon.de/gp/cobrandcard/marketing.html/ref=footer_cbcc?ie=UTF8&ad=DECBFOOT&flavor=DECB3ST&inc=10stmt&place=enum&plattr=DECBFOOT&pr=con	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/cobrandcard/marketing.html/ref=footer_cbccbd5b.html	(from https://www.amazon.de/)
14:13:22	186209/186209	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:22%20GMT	https://www.amazon.de/gp/help/customer/display.html/ref=footer_kreditkarten?ie=UTF8&nodeId=504930	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display.html/ref=footer_kreditkartenca3b.html	(from https://www.amazon.de/)
14:13:23	1/1	---MCZ	301	error ('MovedPermanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:23%20GMT	https://www.amazon.de/gp/help/customer/display.html/ref=footer_bankeinzug?ie=UTF8&nodeId=504928	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display.html/ref=footer_bankeinzug67b5	(from https://www.amazon.de/)
14:13:23	194254/194254	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:22%20GMT	https://www.amazon.de/gp/help/customer/display.html/ref=footer_rechnung?ie=UTF8&nodeId=915628	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display.html/ref=footer_rechnung7cb4.html	(from https://www.amazon.de/)
14:13:23	404844/404844	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:22%20GMT	https://www.amazon.de/Geschenkgutscheine/b/ref=footer_giftcards?ie=UTF8&node=1571256031	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/Geschenkgutscheine/b/ref=footer_giftcards76ae.html	(from https://www.amazon.de/)
14:13:23	186437/186437	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:23%20GMT	https://www.amazon.de/gp/help/customer/display.html?nodeId=201895420	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display3924.html	(from https://www.amazon.de/)
14:13:23	187469/187469	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:23%20GMT	https://www.amazon.de/gp/help/customer/display.html/ref=footer_tfx?ie=UTF8&nodeId=200219670	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display.html/ref=footer_tfx08e1.html	(from https://www.amazon.de/)
14:13:23	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:23%20GMT	https://www.amazon.de/gp/css/order-history/ref=footer_hp_ss_comp_tmp	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/css/order-history/ref=footer_hp_ss_comp_tmp	(from https://www.amazon.de/)
14:13:23	154344/154344	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:23%20GMT	https://www.amazon.de/gp/gc/create/ref=footer_topup_de	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/gc/create/ref=footer_topup_de.html	(from https://www.amazon.de/)
14:13:24	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:24%20GMT	https://www.amazon.de/gp/subs/primeclub/signup/main.html/ref=footer_prime	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/subs/primeclub/signup/main.html/ref=footer_prime	(from https://www.amazon.de/)
14:13:24	192705/192705	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:24%20GMT	https://www.amazon.de/gp/help/customer/display.html/ref=footer_shiprates?ie=UTF8&nodeId=504938	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display.html/ref=footer_shiprates5455.html	(from https://www.amazon.de/)
14:13:26	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:24%20GMT	http://www.amazon.de/gp/prime?ie=UTF8&ref_=footer_prime	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime.474707.delayed	(from https://www.amazon.de/)
14:13:26	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:26%20GMT	https://www.amazon.de/gp/prime?ie=UTF8&ref_=footer_prime	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime4707	(from https://www.amazon.de/)
14:13:26	1/1	---MCZ	301	error ('MovedPermanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:26%20GMT	https://www.amazon.de/gp/css/returns/homepage.html/ref=footer_hy_f_4	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/css/returns/homepage.html/ref=footer_hy_f_4	(from https://www.amazon.de/)
14:13:26	192391/192391	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:26%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=footer_prime	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landing4707.html	(from https://www.amazon.de/)
14:13:27	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Dec%202016%2013:13:27%20GMT	https://www.amazon.de/returns	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/returns	(from https://www.amazon.de/)
14:13:27	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:27%20GMT	https://www.amazon.de/gp/digital/fiona/manage/ref=footer_myk	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/digital/fiona/manage/ref=footer_myk	(from https://www.amazon.de/)
